Name: 汕头综合, URL: http://113.111.16.104:8888/udp/239.77.1.130:5146$订阅源, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 汕头综合, URL: http://113.90.246.252:4000/udp/239.77.1.130:5146$订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 汕头综合, URL: http://14.112.86.101:4022/udp/239.77.1.130:5146$订阅源, Date: None, Resolution: None, Response Time: 5094 ms
Name: 汕头综合, URL: http://113.93.29.222:8088/udp/239.77.1.130:5146$订阅源, Date: None, Resolution: None, Response Time: 9985 ms
Name: 汕头经济, URL: http://113.111.16.104:8888/udp/239.77.1.131:5146$订阅源, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 汕头经济, URL: http://14.112.86.101:4022/udp/239.77.1.131:5146$订阅源, Date: None, Resolution: None, Response Time: 5094 ms
Name: 汕头经济, URL: http://113.93.29.222:8088/udp/239.77.1.131:5146$订阅源, Date: None, Resolution: None, Response Time: 9985 ms
Name: 汕头经济, URL: http://113.90.246.252:4000/udp/239.77.1.131:5146$订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 汕头文旅, URL: http://113.111.16.104:8888/udp/239.77.1.132:5146$订阅源, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 汕头文旅, URL: http://14.112.86.101:4022/udp/239.77.1.132:5146$订阅源, Date: None, Resolution: None, Response Time: 5094 ms
Name: 汕头文旅, URL: http://113.90.246.252:4000/udp/239.77.1.132:5146$订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 汕头文旅, URL: http://113.93.29.222:8088/udp/239.77.1.132:5146$订阅源, Date: None, Resolution: None, Response Time: 9985 ms
